426	80	70	7	19.9	7	8.5	0.875	1.0
639	80	50	5	17.2	7	8.5	0.625	1.4
222	3470	910	91	1014.7	96	26.0	0.262247838617	1.05494505495
192	3480	80	8	61.0	8	13.5	0.0229885057471	1.0
313	3480	240	24	218.2	24	10.6	0.0689655172414	1.0
221	3470	1530	153	1520.0	153	21.3	0.440922190202	1.0
678	80	40	4	255.1	8	145.9	0.5	2.0
220	3470	100	10	82.0	10	22.7	0.028818443804	1.0
229	3470	130	13	135.4	13	29.8	0.0374639769452	1.0
229	3470	110	11	168.0	11	36.6	0.0317002881844	1.0
253	3470	40	4	227.6	4	117.1	0.0115273775216	1.0
226	3480	250	25	245.8	25	33.1	0.0718390804598	1.0
227	3480	440	44	445.8	44	14.6	0.126436781609	1.0
212	3470	600	60	594.9	60	39.5	0.172910662824	1.0
227	3470	430	43	406.4	43	15.3	0.123919308357	1.0
370	3480	170	17	180.7	19	12.4	0.0488505747126	1.11764705882
225	3480	140	14	271.4	14	151.2	0.0402298850575	1.0
225	3470	260	26	237.9	26	15.2	0.0749279538905	1.0
222	3470	110	11	115.0	11	44.4	0.0317002881844	1.0
213	3480	1390	139	1385.2	139	25.3	0.399425287356	1.0
215	3470	670	67	1654.2	68	140.1	0.193083573487	1.01492537313
241	3470	70	7	70.0	7	27.3	0.0201729106628	1.0
208	3480	330	33	304.2	33	12.3	0.0948275862069	1.0
227	3470	180	18	280.2	18	41.6	0.0518731988473	1.0
225	3470	90	9	78.5	9	19.0	0.0259365994236	1.0
212	3480	510	51	486.8	51	13.2	0.146551724138	1.0
225	3470	390	39	368.7	39	16.0	0.112391930836	1.0
363	3480	580	58	555.0	58	4.7	0.166666666667	1.0
229	3470	90	9	75.4	9	24.2	0.0259365994236	1.0
204	3480	330	33	305.7	33	14.2	0.0948275862069	1.0
288	3480	160	16	112.4	16	7.0	0.0459770114943	1.0
228	3470	150	15	154.7	15	15.5	0.0432276657061	1.0
223	3470	810	81	789.9	81	32.4	0.233429394813	1.0
373	3480	150	15	148.3	15	20.7	0.0431034482759	1.0
336	3480	120	12	116.0	12	17.5	0.0344827586207	1.0
339	3480	740	74	707.5	74	13.8	0.212643678161	1.0
226	3470	260	26	249.5	26	19.7	0.0749279538905	1.0
199	3480	560	56	584.6	60	24.4	0.16091954023	1.07142857143
523	80	60	6	47.6	7	4.3	0.75	1.16666666667
469	420	420	42	384.8	134	8.0	1.0	3.19047619048
216	3480	680	68	682.7	68	32.0	0.195402298851	1.0
434	330	330	31	332.9	48	14.8	1.0	1.54838709677
491	140	140	14	105.8	15	7.2	1.0	1.07142857143
360	3550	40	4	108.1	8	9.3	0.0112676056338	2.0
408	170	170	17	152.9	24	8.4	1.0	1.41176470588
532	360	360	36	351.2	36	30.6	1.0	1.0
536	400	400	40	378.4	41	10.1	1.0	1.025
479	190	190	19	135.2	19	21.5	1.0	1.0
227	3480	330	33	305.6	33	18.6	0.0948275862069	1.0
531	650	650	65	633.9	66	6.7	1.0	1.01538461538
523	190	190	19	169.4	20	10.7	1.0	1.05263157895
233	3470	60	6	36.6	6	16.6	0.0172910662824	1.0
214	3470	230	23	207.4	23	18.6	0.0662824207493	1.0
536	520	520	52	487.4	59	9.6	1.0	1.13461538462
472	170	170	17	132.1	18	4.1	1.0	1.05882352941
354	3480	2640	264	2675.7	264	58.0	0.758620689655	1.0
317	3480	150	15	124.4	15	6.3	0.0431034482759	1.0
207	3470	850	85	839.3	85	16.5	0.244956772334	1.0
